legacy_row,legacy_accession,legacy_title,legacy_pubmed,match_methods,matched_accessions,matched_count,bridge_status,possibleClassifications,possibleSamplingFrames,discard,reason,notes
176,FJ839689,Outbreak of poliomyelitis in Finland in 1984-85 - Re-analysis of:viral sequences using the current standard approach :,19883702,accession;pubmed,FJ839686;FJ839687;FJ839688;FJ839689;FJ842158;FJ842159;FJ842160;FJ842161;FJ842162;FJ842163;FJ842164;FJ842165;FJ842166;FJ842167;FJ842168;FJ842169;FJ842170;FJ842171;FJ842172;FJ842173;FJ842174;FJ842175;FJ842176;FJ842177;FJ842178;FJ842179;FJ842180;FJ842181;FJ842182;FJ842183;FJ842184;FJ842185;FJ842186;FJ842187;FJ842188;FJ842189;FJ842190;FJ842191;FJ842192;FJ842193;FJ842194;FJ842195;FJ842196;FJ842197;FJ842198;FJ842199;FJ842200;FJ842201;FJ842202;FJ842203;FJ842204;FJ842205;FJ842206;FJ842207;FJ842208;FJ842209;FJ842210;FJ842211;FJ842212;FJ842213;FJ842214;FJ842215;FJ842216;FJ842217;FJ842218;FJ842219;FJ842220;FJ842221;FJ842222;FJ842223;FJ842224;FJ842225;FJ842226;FJ842227;FJ842228;FJ842229;FJ842230;FJ842231;FJ842232;FJ842233;FJ842234;FJ842235;FJ842236;FJ842237;FJ842238;FJ842239;FJ842240;FJ842241;FJ842242;FJ842243;FJ842244;FJ842245;FJ842246;FJ842247;FJ842248;FJ842249;FJ842250;FJ842251;FJ842252;FJ842253;FJ842254;FJ842255;FJ842256;FJ842257;FJ842258;FJ842259;FJ842260;FJ914252,108,multiple_exact_matches,wild;vaccineOrigin,AFP,,,
177,FJ859064,Emergence and localized circulation of a vaccine-derived poliovirus:in an isolated mountain community in guangxi_ china :,20631095,accession;pubmed,FJ859058;FJ859059;FJ859060;FJ859061;FJ859062;FJ859063;FJ859064,7,multiple_exact_matches,cVDPV,AFP,,,
178,FJ859192,Natural type 3/type 2 intertypic vaccine-related poliovirus :recombinants with the first crossover sites within the VP1 capsid:coding region :,21203565,accession;pubmed,FJ859183;FJ859184;FJ859185;FJ859186;FJ859187;FJ859188;FJ859189;FJ859190;FJ859191;FJ859192,10,multiple_exact_matches,vaccineOrigin,AFP;healthy,,,
179,FJ868312,Identification of 20 common human enterovirus serotypes by use of a:reverse transcription-PCR-based reverse line blot hybridization :assay :,19571022,accession;pubmed,FJ868310;FJ868311;FJ868312,3,multiple_exact_matches,unknown,AFP,,,
180,FJ868336,Direct Submission:,,accession,FJ868336,1,single_exact_match,unknown,AFP,,,
181,FJ898290,A Sabin 2-related poliovirus recombinant contains a homologous :sequence of human enterovirus species C in the viral polymerase:coding region :,19946714,accession;pubmed,FJ898290,1,single_exact_match,vaccineOrigin,AFP,,,
182,FR715560,The frequency and biodiversity of poliovirus and non-polio :enterovirus strains isolated from healthy children living in a:limited area in Romania :,,accession,FR715560,1,single_exact_match,unknown,healthy,,,
183,FV537077,Modified Microbial Nucleic Acid:,,accession,FV537077,1,single_exact_match,,,yes,patent,
184,GM709485,Oligonucleotide microarray for identification of pathogens:,,accession,GM709485,1,single_exact_match,,,yes,patent;fragment,
185,GN353743,Viral nucleic acid microarray and method of use:,,accession,GN353743,1,single_exact_match,,,yes,patent;fragment,
186,GQ331952,Enteric viruses in raw vegetables and groundwater used for:irrigation in South Korea :,19854919,accession;pubmed,GQ331952,1,single_exact_match,unknown,environmental,,,
187,GQ506664,Molecular characterization of circulating Human enteroviruses in:India :,,accession,GQ506664,1,single_exact_match,unknown,AFP-CSF,,,
188,GQ984141,OPV-like Poliovirus Type 1 Detection in Patients with Severe Acute:Respiratory Syndrome: a Retrospective Study :,,accession,GQ984141,1,single_exact_match,vaccineOrigin,healthy,,,
189,GU180608,Retrospective molecular and phenotypic analysis of poliovirus:vaccine strains isolated in Greece :,21375661,accession;pubmed,GU180608,1,single_exact_match,vaccineOrigin,AFP,,,
190,GU236309,Direct Submission:,,accession,GU236309,1,single_exact_match,unknown,AFP,,,
191,GU236310,Direct Submission:,,accession,GU236310,1,single_exact_match,unknown,AFP,,,
192,GU236311,Direct Submission:,,accession,GU236311,1,single_exact_match,unknown,AFP,,,
193,GU236312,Direct Submission:,,accession,GU236312,1,single_exact_match,unknown,AFP,,,
194,GU236313,Direct Submission:,,accession,GU236313,1,single_exact_match,unknown,AFP,,,
195,GU236314,Direct Submission:,,accession,GU236314,1,single_exact_match,unknown,AFP,,,
196,GU256222,Isolation of a recombinant type 3/type 2 poliovirus with a chimeric:capsid VP1 from sewage in Shandong_ China :,20206214,accession;pubmed,GU256222,1,single_exact_match,vaccineOrigin,environmental,,,
197,GU380286,Recurrent isolation of poliovirus 3 strains with chimeric capsid:protein Vp1 suggests a recombination hot-spot site in Vp1 :,20493912,accession;pubmed,GU380272;GU380273;GU380274;GU380275;GU380276;GU380277;GU380278;GU380279;GU380280;GU380281;GU380282;GU380283;GU380284;GU380285;GU380286,15,multiple_exact_matches,vaccineOrigin,AFP,,,
198,GU390706,Brief Report: Neuroinvasive Immunodeficiency-Associated :Vaccine-Derived Poliomyelitis Thirteen Years after Infection -:Minnesota_ 2008 :,,accession,GU390706,1,single_exact_match,iVPDV;cVDPV,AFP,,,
199,GU903889,Detection and molecular identification of human adenoviruses and:enteroviruses in wastewater from Morocco :,22324352,accession;pubmed,GU903889,1,single_exact_match,unknown,environmental,,,
200,GU906272,Isolation and molecular characterization of Poliovirus-3 from the:respiratory tract in Nairobi_ Kenya :,,accession,GU906272,1,single_exact_match,unknown,AFP-throat,,,
201,GU951803,Identification and molecular characterisation of an Indian genotype:of poliovirus type 1 isolated during outbreaks of poliomyelitis in :the Democratic Republic of Congo (DRC) from 2006 - 2008 :,,accession,GU951803,1,single_exact_match,wild,AFP,,,
202,HF913428,Reemergence of Recombinant Vaccine-derived Polioviruses in Healthy:Children_ Madagascar :,23735779,accession;pubmed,HF913426;HF913427;HF913428,3,multiple_exact_matches,VDPV,healthy,,,
203,HM107835,Type 2 vaccine-derived poliovirus from patients with acute flaccid:paralysis in china: current immunization strategy effectively :prevented its sustained transmission :,21050127,accession;pubmed,HM107832;HM107833;HM107834;HM107835,4,multiple_exact_matches,vaccineOrigin,AFP,,,
204,HM134120,Vaccine Derived Polioviruses (VDPV) threatening eradication of:polio in the Democratic Republic of Congo (DRC) :,,accession,HM134120,1,single_exact_match,cVDPV,AFP,,,
205,HM537011,Determination of antigenic properties of vaccine derived poliovirus:strains :,20974307,accession;pubmed,HM537000;HM537001;HM537002;HM537003;HM537004;HM537005;HM537006;HM537007;HM537008;HM537009;HM537010;HM537011,12,multiple_exact_matches,vaccineOrigin,environmental;AFP;healthy,,,
206,HQ286321,The Picornaviruses Chapter 26: The poliovirus eradication:initiative :,,accession,HQ286321,1,single_exact_match,wild,AFP,,,
207,HQ317702,Identification and characterization of poliovirus type 1 (India :genotype) during the outbreak of poliomyelitis in Tajikistan 2010:,,accession,HQ317702,1,single_exact_match,wild,AFP,,,
208,HQ694496,Virological surveillance of enteroviruses from healthy children in:the border areas with Myanma_ Yunnan Province_ China_ 2009 :,,accession,HQ694496,1,single_exact_match,vaccineOrigin,healthy,,,
209,HQ703555,Antiviral Activity of 3(2H)- and 6-Chloro-3(2H)-Isoflavenes against:Highly Diverged_ Neurovirulent Vaccine-Derived_ Type2 Poliovirus :Sewage Isolates :,21904594,accession;pubmed,HQ703551;HQ703552;HQ703553;HQ703554;HQ703555,5,multiple_exact_matches,vaccineOrigin,environmental,,,
210,HV202313,Replication-competent recombinant sabin type 1 strain of poliovirus:,,accession,HV202313,1,single_exact_match,,,yes,patent; unknown design,
211,HZ037987,ATTENUATED VIRUSES USEFUL FOR VACCINES:,,accession,HZ037987,1,single_exact_match,,,yes,patent; Mahoney copy,
212,J02283,Poliovirus type 3: molecular cloning of the genome and nucleotide:sequence of the region encoding the protease and polymerase :proteins :,6298739,accession;pubmed,J02283,1,single_exact_match,,,yes,Sabin 3 fragment,
213,JF313104,Poliovirus reference strains:,,accession,JF313104,1,single_exact_match,wild;VDPV,AFP,,,
214,JF343828,Occurrence of human enteric viruses at freshwater beaches during:swimming season and its link to water inflow :,24333998,accession;pubmed,JF343824;JF343825;JF343826;JF343827;JF343828,5,multiple_exact_matches,,,yes,fragments; likely false homology with Sabin in OPV-free era,
215,JF838278,Robustness against serum neutralization of a poliovirus type 1 from:a lethal epidemic of poliomyelitis in the Republic of Congo in 2010:,25136105,accession;pubmed,JF838278;JF838279;JF838280;JF838281;JF838282;JF838283;JF838284;JF838285;JF838286;JF838287;JF838288;JF838289;JF838290,13,multiple_exact_matches,wild,AFP,,,
216,JF896213,Environmental surveillance of enterovirus in Northern India using:an integrated shell vial culture with a semi-nested RT PCR and :partial sequencing of the VP1 gene :,23341372,accession;pubmed,JF896197;JF896198;JF896200;JF896207;JF896210;JF896213;JF896216,7,multiple_exact_matches,unknown,environmental,,,
217,JN092123,Direct Submission:,,accession,JN092123,1,single_exact_match,,,yes,fragment; unclear clinical presentation,
218,JN092124,Direct Submission:,,accession,JN092124,1,single_exact_match,,,yes,fragment; unclear clinical presentation,
219,JN105295,Characterization of poliovirus variants selected for resistance to:the antiviral compound v-073 :,22890765,accession;pubmed,JN105289;JN105290;JN105291;JN105292;JN105293;JN105294;JN105295,7,multiple_exact_matches,v073-antiviral,engineered,,,
220,JN393077,Interruption of poliovirus transmission in Ghana: molecular :epidemiology of wild-type 1 poliovirus isolated from 1995 to 2008:,22829642,accession;pubmed,JN393014;JN393015;JN393016;JN393017;JN393018;JN393019;JN393020;JN393021;JN393022;JN393023;JN393024;JN393025;JN393026;JN393027;JN393028;JN393029;JN393030;JN393031;JN393032;JN393033;JN393034;JN393035;JN393036;JN393037;JN393038;JN393039;JN393040;JN393041;JN393042;JN393043;JN393044;JN393045;JN393046;JN393047;JN393048;JN393049;JN393050;JN393051;JN393052;JN393053;JN393054;JN393055;JN393056;JN393057;JN393058;JN393059;JN393060;JN393061;JN393062;JN393063;JN393064;JN393065;JN393066;JN393067;JN393068;JN393069;JN393070;JN393071;JN393072;JN393073;JN393074;JN393075;JN393076;JN393077;JN393078;JN393079;JN393080;JN393081;JN393082;JN393083;JN393084;JN393085;JN393086;JN393087;JN393088;JN393089;JN393090;JN393091;JN393092;JN393093;JN393094;JN393095;JN393096;JN393097;JN393098;JN393099;JN393100;JN393101;JN393102;JN393103;JN393104;JN393105;JN393106;JN393107;JN393108;JN393109;JN393110;JN393111;JN393112;JN393113;JN393114;JN393115;JN393116;JN393117;JN393118;JN393119;JN393120;JN393121;JN393122;JN393123;JN393124;JN393125;JN393126;JN393127;JN393128;JN393129;JN393130;JN393131;JN393132;JN393133;JN393134;JN393135;JN393136;JN393137;JN393138;JN393139;JN393140;JN393141;JN393142;JN393143;JN393144;JN393145;JN393146;JN393147;JN393148;JN393149;JN393150;JN393151;JN393152;JN393153;JN393154;JN393155;JN393156;JN393157;JN393158;JN393159;JN393160;JN393161;JN393162;JN393163;JN393164;JN393165;JN393166;JN393167;JN393168;JN393169;JN393170;JN393171;JN393172;JN393173;JN393174;JN393175;JN393176;JN393177;JN393178;JN393179;JN393180;JN393181;JN393182;JN393183;JN393184;JN393185;JN393186;JN393187;JN393188;JN393189;JN393190;JN393191;JN393192;JN393193;JN393194;JN393195;JN393196;JN393197;JN393198;JN393199;JN393200;JN393201;JN393202;JN393203;JN393204;JN393205,192,multiple_exact_matches,wild,AFP,,,
221,JN688978,A RT-PCR method for selective amplification and phenotypic:characterization of all three serotypes of Sabin-related :polioviruses from viral mixtures :,22850966,accession;pubmed,JN688967;JN688968;JN688969;JN688970;JN688971;JN688972;JN688973;JN688974;JN688975;JN688976;JN688977;JN688978,12,multiple_exact_matches,vaccineOrigin,AFP,,,
222,JN812668,Phylogenetic study of wild poliovirus that circulated in:pre-eradication era in Brazil :,,accession,JN812668,1,single_exact_match,wild,AFP,,,
223,JN990978,Molecular epidemiological study of human enterovirus circulating in:India :,,accession,JN990978,1,single_exact_match,wild,AFP,,,
224,JQ228564,Bioterrorism and surveillance for infectious diseases - lessons:from poliovirus and enteric virus surveillance :,,accession,JQ228564,1,single_exact_match,unknown,environmental,,,
225,JQ411771,Molecular epidemiology and evolution of human enterovirus serotype:68 in Thailand_ 2006-2011 :,22586446,accession;pubmed,JQ411761;JQ411762;JQ411764;JQ411766;JQ411769;JQ411770;JQ411771;JQ411800,8,multiple_exact_matches,vaccineOrigin,healthy,,,
226,JQ613997,Detection of imported wild polioviruses and of vaccine-derived:polioviruses by environmental surveillance in egypt :,22582070,accession;pubmed,JQ613982;JQ613983;JQ613984;JQ613985;JQ613986;JQ613987;JQ613988;JQ613989;JQ613990;JQ613991;JQ613992;JQ613993;JQ613994;JQ613995;JQ613996;JQ613997,16,multiple_exact_matches,wild;cVDPV,environmental,,,
227,JQ906536,Genetic relationships and epidemiological links between wild type 1:poliovirus isolates in Pakistan and Afghanistan :,22353446,accession;pubmed,JQ906425;JQ906426;JQ906427;JQ906428;JQ906429;JQ906430;JQ906431;JQ906432;JQ906433;JQ906434;JQ906435;JQ906436;JQ906437;JQ906438;JQ906439;JQ906440;JQ906441;JQ906442;JQ906443;JQ906444;JQ906445;JQ906446;JQ906447;JQ906448;JQ906449;JQ906450;JQ906451;JQ906452;JQ906453;JQ906454;JQ906455;JQ906456;JQ906457;JQ906458;JQ906459;JQ906460;JQ906461;JQ906462;JQ906463;JQ906464;JQ906465;JQ906466;JQ906467;JQ906468;JQ906469;JQ906470;JQ906471;JQ906472;JQ906473;JQ906474;JQ906475;JQ906476;JQ906477;JQ906478;JQ906479;JQ906480;JQ906481;JQ906482;JQ906483;JQ906484;JQ906485;JQ906486;JQ906487;JQ906488;JQ906489;JQ906490;JQ906491;JQ906492;JQ906493;JQ906494;JQ906495;JQ906496;JQ906497;JQ906498;JQ906499;JQ906500;JQ906501;JQ906502;JQ906503;JQ906504;JQ906505;JQ906506;JQ906507;JQ906508;JQ906509;JQ906510;JQ906511;JQ906512;JQ906513;JQ906514;JQ906515;JQ906516;JQ906517;JQ906518;JQ906519;JQ906520;JQ906521;JQ906522;JQ906523;JQ906524;JQ906525;JQ906526;JQ906527;JQ906528;JQ906529;JQ906530;JQ906531;JQ906532;JQ906533;JQ906534;JQ906535;JQ906536,112,multiple_exact_matches,wild,AFP,,,
228,JX179294,Nearly constant shedding of diverse enteric viruses by two healthy:infants :,22875894,accession;pubmed,JX179283;JX179290;JX179291;JX179292;JX179293;JX179294,6,multiple_exact_matches,SabinLike,healthy,,,
229,JX181927,Molecular identification and analysis of human enteroviruses :isolated from healthy children in shenzhen_ china from 2010 to 2011:,23762262,accession;pubmed,JX181910;JX181911;JX181912;JX181922;JX181927;JX181930;JX181931,7,multiple_exact_matches,unknown,healthy,,,
230,JX219557,Diversity of picornaviruses in rural Bolivia:,23804569,accession;pubmed,JX219484;JX219485;JX219486;JX219487;JX219488;JX219489;JX219490;JX219491;JX219492;JX219493;JX219494;JX219495;JX219496;JX219497;JX219498;JX219499;JX219500;JX219501;JX219502;JX219503;JX219504;JX219505;JX219506;JX219507;JX219508;JX219509;JX219510;JX219511;JX219512;JX219513;JX219514;JX219515;JX219516;JX219517;JX219518;JX219519;JX219520;JX219521;JX219522;JX219523;JX219524;JX219525;JX219526;JX219527;JX219528;JX219529;JX219530;JX219531;JX219532;JX219533;JX219534;JX219535;JX219536;JX219537;JX219538;JX219539;JX219540;JX219541;JX219542;JX219543;JX219544;JX219545;JX219546;JX219547;JX219548;JX219549;JX219550;JX219551;JX219552;JX219553;JX219554;JX219555;JX219556;JX219557;JX219558;JX219559;JX219560;JX219561;JX219562;JX219563;JX219564;JX219565;JX219566;JX219567;JX219568;JX219569;JX219570;JX219571;JX219572;JX219573;JX219574;JX219575;JX219576;JX219577;JX219578;JX219579;JX219580;JX219581;JX219582;JX219583;JX219584;JX219585;JX219586;JX219587;JX219588;JX219589;JX219590,107,multiple_exact_matches,unknown,AFP,,,
231,JX275382,Multiple Independent Emergences of Type 2 Vaccine-Derived:Polioviruses during a Large Outbreak in Northern Nigeria :,23408630,accession;pubmed,JX274680;JX274681;JX274682;JX274683;JX274684;JX274685;JX274686;JX274687;JX274688;JX274689;JX274690;JX274691;JX274692;JX274693;JX274694;JX274695;JX274696;JX274697;JX274698;JX274699;JX274700;JX274701;JX274702;JX274703;JX274704;JX274705;JX274706;JX274707;JX274708;JX274709;JX274710;JX274711;JX274712;JX274713;JX274714;JX274715;JX274716;JX274717;JX274718;JX274719;JX274720;JX274721;JX274722;JX274723;JX274724;JX274725;JX274726;JX274727;JX274728;JX274729;JX274730;JX274731;JX274732;JX274733;JX274734;JX274735;JX274736;JX274737;JX274738;JX274739;JX274740;JX274741;JX274742;JX274743;JX274744;JX274745;JX274746;JX274747;JX274748;JX274749;JX274750;JX274751;JX274752;JX274753;JX274754;JX274755;JX274756;JX274757;JX274758;JX274759;JX274760;JX274761;JX274762;JX274763;JX274764;JX274765;JX274766;JX274767;JX274768;JX274769;JX274770;JX274771;JX274772;JX274773;JX274774;JX274775;JX274776;JX274777;JX274778;JX274779;JX274780;JX274781;JX274782;JX274783;JX274784;JX274785;JX274786;JX274787;JX274788;JX274789;JX274790;JX274791;JX274792;JX274793;JX274794;JX274795;JX274796;JX274797;JX274798;JX274799;JX274800;JX274801;JX274802;JX274803;JX274804;JX274805;JX274806;JX274807;JX274808;JX274809;JX274810;JX274811;JX274812;JX274813;JX274814;JX274815;JX274816;JX274817;JX274818;JX274819;JX274820;JX274821;JX274822;JX274823;JX274824;JX274825;JX274826;JX274827;JX274828;JX274829;JX274830;JX274831;JX274832;JX274833;JX274834;JX274835;JX274836;JX274837;JX274838;JX274839;JX274840;JX274841;JX274842;JX274843;JX274844;JX274845;JX274846;JX274847;JX274848;JX274849;JX274850;JX274851;JX274852;JX274853;JX274854;JX274855;JX274856;JX274857;JX274858;JX274859;JX274860;JX274861;JX274862;JX274863;JX274864;JX274865;JX274866;JX274867;JX274868;JX274869;JX274870;JX274871;JX274872;JX274873;JX274874;JX274875;JX274876;JX274877;JX274878;JX274879;JX274880;JX274881;JX274882;JX274883;JX274884;JX274885;JX274886;JX274887;JX274888;JX274889;JX274890;JX274891;JX274892;JX274893;JX274894;JX274895;JX274896;JX274897;JX274898;JX274899;JX274900;JX274901;JX274902;JX274903;JX274904;JX274905;JX274906;JX274907;JX274908;JX274909;JX274910;JX274911;JX274912;JX274913;JX274914;JX274915;JX274916;JX274917;JX274918;JX274919;JX274920;JX274921;JX274922;JX274923;JX274924;JX274925;JX274926;JX274927;JX274928;JX274929;JX274930;JX274931;JX274932;JX274933;JX274934;JX274935;JX274936;JX274937;JX274938;JX274939;JX274940;JX274941;JX274942;JX274943;JX274944;JX274945;JX274946;JX274947;JX274948;JX274949;JX274950;JX274951;JX274952;JX274953;JX274954;JX274955;JX274956;JX274957;JX274958;JX274959;JX274960;JX274961;JX274962;JX274963;JX274964;JX274965;JX274966;JX274967;JX274968;JX274969;JX274970;JX274971;JX274972;JX274973;JX274974;JX274975;JX274976;JX274977;JX274978;JX274979;JX274980;JX274981;JX274982;JX274983;JX274984;JX274985;JX274986;JX274987;JX274988;JX274989;JX274990;JX274991;JX274992;JX274993;JX274994;JX274995;JX274996;JX274997;JX274998;JX274999;JX275000;JX275001;JX275002;JX275003;JX275004;JX275005;JX275006;JX275007;JX275008;JX275009;JX275010;JX275011;JX275012;JX275013;JX275014;JX275015;JX275016;JX275017;JX275018;JX275019;JX275020;JX275021;JX275022;JX275023;JX275024;JX275025;JX275026;JX275027;JX275028;JX275029;JX275030;JX275031;JX275032;JX275033;JX275034;JX275035;JX275036;JX275037;JX275038;JX275039;JX275040;JX275041;JX275042;JX275043;JX275044;JX275045;JX275046;JX275047;JX275048;JX275049;JX275050;JX275051;JX275052;JX275053;JX275054;JX275055;JX275056;JX275057;JX275058;JX275059;JX275060;JX275061;JX275062;JX275063;JX275064;JX275065;JX275066;JX275067;JX275068;JX275069;JX275070;JX275071;JX275072;JX275073;JX275074;JX275075;JX275076;JX275077;JX275078;JX275079;JX275080;JX275081;JX275082;JX275083;JX275084;JX275085;JX275086;JX275087;JX275088;JX275089;JX275090;JX275091;JX275092;JX275093;JX275094;JX275095;JX275096;JX275097;JX275098;JX275099;JX275100;JX275101;JX275102;JX275103;JX275104;JX275105;JX275106;JX275107;JX275108;JX275109;JX275110;JX275111;JX275112;JX275113;JX275114;JX275115;JX275116;JX275117;JX275118;JX275119;JX275120;JX275121;JX275122;JX275123;JX275124;JX275125;JX275126;JX275127;JX275128;JX275129;JX275130;JX275131;JX275132;JX275133;JX275134;JX275135;JX275136;JX275137;JX275138;JX275139;JX275140;JX275141;JX275142;JX275143;JX275144;JX275145;JX275146;JX275147;JX275148;JX275149;JX275150;JX275151;JX275152;JX275153;JX275154;JX275155;JX275156;JX275157;JX275158;JX275159;JX275160;JX275161;JX275162;JX275163;JX275164;JX275165;JX275166;JX275167;JX275168;JX275169;JX275170;JX275171;JX275172;JX275173;JX275174;JX275175;JX275176;JX275177;JX275178;JX275179;JX275180;JX275181;JX275182;JX275183;JX275184;JX275185;JX275186;JX275187;JX275188;JX275189;JX275190;JX275191;JX275192;JX275193;JX275194;JX275195;JX275196;JX275197;JX275198;JX275199;JX275200;JX275201;JX275202;JX275203;JX275204;JX275205;JX275206;JX275207;JX275208;JX275209;JX275210;JX275211;JX275212;JX275213;JX275214;JX275215;JX275216;JX275217;JX275218;JX275219;JX275220;JX275221;JX275222;JX275223;JX275224;JX275225;JX275226;JX275227;JX275228;JX275229;JX275230;JX275231;JX275232;JX275233;JX275234;JX275235;JX275236;JX275237;JX275238;JX275239;JX275240;JX275241;JX275242;JX275243;JX275244;JX275245;JX275246;JX275247;JX275248;JX275249;JX275250;JX275251;JX275252;JX275253;JX275254;JX275255;JX275256;JX275257;JX275258;JX275259;JX275260;JX275261;JX275262;JX275263;JX275264;JX275265;JX275266;JX275267;JX275268;JX275269;JX275270;JX275271;JX275272;JX275273;JX275274;JX275275;JX275276;JX275277;JX275278;JX275279;JX275280;JX275281;JX275282;JX275283;JX275284;JX275285;JX275286;JX275287;JX275288;JX275289;JX275290;JX275291;JX275292;JX275293;JX275294;JX275295;JX275296;JX275297;JX275298;JX275299;JX275300;JX275301;JX275302;JX275303;JX275304;JX275305;JX275306;JX275307;JX275308;JX275309;JX275310;JX275311;JX275312;JX275313;JX275314;JX275315;JX275316;JX275317;JX275318;JX275319;JX275320;JX275321;JX275322;JX275323;JX275324;JX275325;JX275326;JX275327;JX275328;JX275329;JX275330;JX275331;JX275332;JX275333;JX275334;JX275335;JX275336;JX275337;JX275338;JX275339;JX275340;JX275341;JX275342;JX275343;JX275344;JX275345;JX275346;JX275347;JX275348;JX275349;JX275350;JX275351;JX275352;JX275353;JX275354;JX275355;JX275356;JX275357;JX275358;JX275359;JX275360;JX275361;JX275362;JX275363;JX275364;JX275365;JX275366;JX275367;JX275368;JX275369;JX275370;JX275371;JX275372;JX275373;JX275374;JX275375;JX275376;JX275377;JX275378;JX275379;JX275380;JX275381;JX275382,703,multiple_exact_matches,cVDPV,AFP,,,
232,JX424836,Emergence of Vaccine-derived Polioviruses_ Democratic Republic of:Congo_ 2004-2011 :,24047933,accession;pubmed,JQ691357;JQ691358;JQ691359;JQ691360;JQ691361;JQ691362;JQ691363;JQ691364;JQ691365;JQ691366;JQ691367;JQ691368;JQ691369;JQ691370;JQ691371;JQ691372;JQ691373;JQ691374;JQ691375;JQ691376;JQ691377;JQ691378;JQ691379;JQ691380;JQ691381;JQ691382;JQ691383;JQ691384;JQ691385;JQ691386;JQ691387;JQ691388;JQ691389;JQ691390;JQ691391;JQ691392;JQ691393;JQ691394;JQ691395;JQ691396;JQ691397;JQ691398;JQ691399;JQ691400;JQ691401;JQ691402;JQ691403;JQ691404;JQ691405;JQ691406;JQ691407;JQ691408;JQ691409;JQ691410;JQ691411;JQ691412;JQ691413;JX424824;JX424825;JX424826;JX424827;JX424828;JX424829;JX424830;JX424831;JX424832;JX424833;JX424834;JX424835;JX424836,70,multiple_exact_matches,cVDPV,AFP,,,
233,JX513605,Non-polio enteroviruses and their association with acute diarrhea:in children in India :,23602838,accession;pubmed,JX513427;JX513428;JX513429;JX513430;JX513431;JX513432;JX513433;JX513434;JX513435;JX513436;JX513437;JX513438;JX513439;JX513440;JX513441;JX513442;JX513443;JX513444;JX513445;JX513446;JX513447;JX513448;JX513449;JX513450;JX513451;JX513452;JX513453;JX513454;JX513455;JX513456;JX513457;JX513458;JX513459;JX513460;JX513461;JX513462;JX513463;JX513464;JX513465;JX513466;JX513467;JX513468;JX513469;JX513470;JX513471;JX513472;JX513473;JX513474;JX513475;JX513476;JX513477;JX513478;JX513479;JX513480;JX513481;JX513482;JX513483;JX513484;JX513485;JX513486;JX513487;JX513488;JX513489;JX513490;JX513491;JX513492;JX513493;JX513494;JX513495;JX513496;JX513497;JX513498;JX513499;JX513500;JX513501;JX513502;JX513503;JX513504;JX513505;JX513506;JX513507;JX513508;JX513509;JX513510;JX513511;JX513512;JX513513;JX513514;JX513515;JX513516;JX513517;JX513518;JX513519;JX513520;JX513521;JX513522;JX513523;JX513524;JX513525;JX513526;JX513527;JX513528;JX513529;JX513530;JX513531;JX513532;JX513533;JX513534;JX513535;JX513536;JX513537;JX513538;JX513539;JX513540;JX513541;JX513542;JX513543;JX513544;JX513545;JX513546;JX513547;JX513548;JX513549;JX513550;JX513551;JX513552;JX513553;JX513554;JX513555;JX513556;JX513557;JX513558;JX513559;JX513560;JX513561;JX513562;JX513563;JX513564;JX513565;JX513566;JX513567;JX513568;JX513569;JX513570;JX513571;JX513572;JX513573;JX513574;JX513575;JX513576;JX513577;JX513578;JX513579;JX513580;JX513581;JX513582;JX513583;JX513584;JX513585;JX513586;JX513587;JX513588;JX513589;JX513590;JX513591;JX513592;JX513593;JX513594;JX513595;JX513596;JX513597;JX513598;JX513599;JX513600;JX513601;JX513602;JX513603;JX513604;JX513605,179,multiple_exact_matches,,,yes,sabin references,
234,JX538031,Naturally Acquired Picornavirus Infections in Primates at the Dhaka:Zoo :,23097447,accession;pubmed,JX537975;JX537976;JX537977;JX537978;JX537979;JX537980;JX537981;JX537982;JX537983;JX537984;JX537985;JX537986;JX537987;JX537988;JX537989;JX537990;JX537991;JX537992;JX537993;JX537994;JX537995;JX537996;JX537997;JX537998;JX537999;JX538000;JX538001;JX538002;JX538003;JX538004;JX538005;JX538006;JX538007;JX538008;JX538009;JX538010;JX538011;JX538012;JX538013;JX538014;JX538015;JX538016;JX538017;JX538018;JX538019;JX538020;JX538021;JX538022;JX538023;JX538024;JX538025;JX538026;JX538027;JX538028;JX538029;JX538030;JX538031;JX538032,58,multiple_exact_matches,,,yes,non-human primate infection (Sabin 3 in an olive baboon!),
