legacy_row,legacy_accession,legacy_title,legacy_pubmed,match_methods,matched_accessions,matched_count,bridge_status,possibleClassifications,possibleSamplingFrames,discard,reason,notes
26,AF068878,Multicenter quality assessment of PCR methods for detection of:enteroviruses :,10203496,accession;pubmed,AF068878;AF068880;AF068881;AF076999,4,multiple_exact_matches,,,yes,Sabin2 for lab protocol testing,
27,AF083944,Prolonged replication of a type 1 vaccine-derived poliovirus in an:immunodeficient patient :,9738040,accession;pubmed,AF083931;AF083932;AF083933;AF083934;AF083935;AF083936;AF083937;AF083938;AF083939;AF083940;AF083941;AF083942;AF083943;AF083944,14,multiple_exact_matches,iVDPV,AFP,,,
28,AF111953,Distribution of wild type 1 poliovirus genotypes in China:,8245521,accession;pubmed,AF111953;AF111984,2,multiple_exact_matches,wild,AFP,,,
29,AF139291,Resolution of the pathways of poliovirus type 1 transmission during:an outbreak :,10698978,accession;pubmed,AF139251;AF139252;AF139253;AF139254;AF139255;AF139256;AF139257;AF139258;AF139259;AF139260;AF139261;AF139262;AF139263;AF139264;AF139265;AF139266;AF139267;AF139268;AF139269;AF139270;AF139271;AF139272;AF139273;AF139274;AF139275;AF139276;AF139277;AF139278;AF139279;AF139280;AF139281;AF139282;AF139283;AF139284;AF139285;AF139286;AF139287;AF139288;AF139289;AF139290;AF139291;AJ237871;AJ237872;AJ237873;AJ237874;AJ237875;AJ237876;AJ237877;AJ237878;AJ237879;AJ237880;AJ237881;AJ237882;AJ237883;AJ237884;AJ237885,56,multiple_exact_matches,wild,AFP;environmental,,,
30,AF233222,Evolution of circulating wild poliovirus and of vaccine-derived:poliovirus in an immunodeficient patient: a unifying model :,10906191,accession;pubmed,AF233098;AF233099;AF233100;AF233101;AF233102;AF233103;AF233104;AF233105;AF233106;AF233107;AF233108;AF233109;AF233110;AF233111;AF233112;AF233113;AF233114;AF233115;AF233116;AF233117;AF233118;AF233119;AF233120;AF233121;AF233122;AF233123;AF233124;AF233125;AF233126;AF233127;AF233128;AF233129;AF233130;AF233131;AF233132;AF233133;AF233134;AF233135;AF233136;AF233137;AF233138;AF233139;AF233140;AF233141;AF233142;AF233143;AF233144;AF233145;AF233146;AF233147;AF233148;AF233149;AF233150;AF233151;AF233152;AF233153;AF233154;AF233155;AF233156;AF233157;AF233158;AF233159;AF233160;AF233161;AF233162;AF233163;AF233164;AF233165;AF233166;AF233167;AF233168;AF233169;AF233170;AF233171;AF233172;AF233173;AF233174;AF233175;AF233176;AF233177;AF233178;AF233179;AF233180;AF233181;AF233182;AF233183;AF233184;AF233185;AF233186;AF233187;AF233188;AF233189;AF233190;AF233191;AF233192;AF233193;AF233194;AF233195;AF233196;AF233197;AF233198;AF233199;AF233200;AF233201;AF233202;AF233203;AF233204;AF233205;AF233206;AF233207;AF233208;AF233209;AF233210;AF233211;AF233212;AF233213;AF233214;AF233215;AF233216;AF233217;AF233218;AF233219;AF233220;AF233221;AF233222,125,multiple_exact_matches,wild;iVDPV,AFP,,,
31,AF236796,Nucleotide sequencing coat protein (VP1-VP3) of poliovirus type I:Mahoney-var :,,accession,AF236796,1,single_exact_match,,,yes,,
32,AF236797,Nucleotide sequencing coat protein (VP1-VP3) of poliovirus type I:Mahoney-var_ hor7 :,,accession,AF236797,1,single_exact_match,,,yes,no metadata to explain sample origin,
33,AF249265,Molecular and antigenic characterization of a highly evolved :derivative of the type 2 oral poliovaccine strain isolated from:sewage in Israel :,11015392,accession;pubmed,AF249260;AF249261;AF249262;AF249263;AF249264;AF249265;AJ288062,7,multiple_exact_matches,,,yes,no metadata to explain sample origin,
34,AF252165,Molecular characterization of human enteroviruses in clinical :samples: comparison between VP2_ VP1_ and RNA polymerase regions:using RT nested PCR assays and direct sequencing of products :,11505456,accession;pubmed,AF252161;AF252165;AF252214,3,multiple_exact_matches,,,yes,lab assay study,
35,AF261763,Vaccine-associated Paralytic Poliomyelitis: Report of Successful:Treatment With Pleconaril :,,accession,AF261763,1,single_exact_match,iVDPV,AFP-CNS,,,
36,AF334953,Antigenic sites of poliovirus type 3 eliciting IgA monoclonal:antibodies in orally immunized mice :,11277698,accession;pubmed,AF334949;AF334950;AF334951;AF334952;AF334953,5,multiple_exact_matches,,,yes,mouse immunology study,
37,AF380615,Detection and Typing of Enteroviruses by Analysis of the 2C Gene:Sequence :,,accession,AF380615,1,single_exact_match,unknown,unknown,yes,no metadata to explain sample origin,2C so I want to keep if possible
38,AF405657,Outbreak of poliomyelitis in Hispaniola associated with circulating:type 1 vaccine-derived poliovirus :,11896235,accession;pubmed,AF405607;AF405608;AF405609;AF405610;AF405611;AF405612;AF405613;AF405614;AF405615;AF405616;AF405617;AF405618;AF405619;AF405620;AF405621;AF405622;AF405623;AF405624;AF405625;AF405626;AF405627;AF405628;AF405629;AF405630;AF405631;AF405632;AF405633;AF405634;AF405635;AF405636;AF405637;AF405638;AF405639;AF405640;AF405641;AF405642;AF405643;AF405644;AF405645;AF405646;AF405647;AF405648;AF405649;AF405650;AF405652;AF405653;AF405654;AF405655;AF405656;AF405657;AF405658;AF405659;AF405660;AF405661;AF405666;AF405669;AF405682;AF405690;AY056058;AY741366,60,multiple_exact_matches,wild;cVDPV,AFP,,,
39,AF405689,Circulating type 1 vaccine-derived poliovirus recombinants:,,accession,AF405689,1,single_exact_match,cVDPV,AFP;healthy,,,
40,AF462419,Long-term circulation of vaccine-derived poliovirus that causes:paralytic disease :,12050392,accession;pubmed,AF462418;AF462419,2,multiple_exact_matches,vaccineOrigin,AFP,,,
41,AF528821,Calibration of a Clock for VP1 Nucleotide Evolution in Poliovirus:Type 1 :,,accession,AF528821,1,single_exact_match,wild,AFP,,,
42,AF538842,Intratypic Recombination among Lineages of Type 1 Vaccine-Derived :Poliovirus Emerging during Chronic Infection of an Immunodeficient:Patient :,16188964,accession;pubmed,AF538840;AF538841;AF538842;AF538843;AY928383;AY928384;AY928385;AY928386;AY928387,9,multiple_exact_matches,iVDPV,AFP,,,
43,AF541919,Characterization of a recombinant type 3/type 2 poliovirus isolated:from a healthy vaccinee and containing a chimeric capsid protein :VP1 :,12604808,accession;pubmed,AF541919,1,single_exact_match,vaccineOrigin,healthy,,,
44,AF545181,Prolonged detection of indigenous wild polioviruses in sewage from:communities in Egypt :,14561671,accession;pubmed,AF545107;AF545108;AF545109;AF545110;AF545111;AF545112;AF545113;AF545114;AF545115;AF545116;AF545117;AF545118;AF545119;AF545120;AF545121;AF545122;AF545123;AF545124;AF545125;AF545126;AF545127;AF545128;AF545129;AF545130;AF545131;AF545132;AF545133;AF545134;AF545135;AF545136;AF545137;AF545138;AF545139;AF545140;AF545141;AF545142;AF545143;AF545144;AF545145;AF545146;AF545147;AF545148;AF545149;AF545150;AF545151;AF545152;AF545153;AF545154;AF545155;AF545156;AF545157;AF545158;AF545159;AF545160;AF545161;AF545162;AF545163;AF545164;AF545165;AF545166;AF545167;AF545168;AF545169;AF545170;AF545171;AF545172;AF545173;AF545174;AF545175;AF545176;AF545177;AF545178;AF545179;AF545180;AF545181,75,multiple_exact_matches,wild,AFP,,,
