legacy_row,accession,title,pubmed,possibleClassifications,classificationKeyValuePairs,possibleSamplingFrames,samplingFrameKeyValuePairs,discard,reason,notes,curation_source
159,EU049856,Interrupting wild poliovirus transmission using oral poliovirus:vaccine: environmental surveillance in high-risks area of India:,18551602,wild,,AFP;environmental,environmental:RCP1PGI;environmental:RCP2PGI;environmental:RCP3PGI;environmental:RCP4PGI;AFP:,,,,legacy_excel_title_key_table
160,EU566950,Paralysis Associated and Contact Spreading of an Imported:Recombinant Vaccine Derived Poliovirus in Spain :,,iVDPV,,AFP,,,,"despite title, all reported isolates are listed are from immunocompromised patient",legacy_excel_title_key_table
161,EU598487,A new RT-PCR assay for the identification of the predominant :recombination types in 2C and 3D genomic regions of vaccine-derived:poliovirus strains :,19948215,vaccineOrigin,,environmental,,,,,legacy_excel_title_key_table
162,EU598488,Growth kinetic analysis of bi-recombinant poliovirus vaccine:strains :,20091423,vaccineOrigin,,AFP,,,,,legacy_excel_title_key_table
163,EU684057,Isolation of a type 3 vaccine-derived poliovirus (VDPV) from an:Iranian child with X-linked agammaglobulinemia :,18674576,iVDPV,,AFP,,,,,legacy_excel_title_key_table
164,EU715814,Determination of the role of mutations and recombination in growth:rates of Poliovirus vaccine strains :,,vaccineOrigin,,unknown,,,,,legacy_excel_title_key_table
165,EU794964,Changes in population dynamics during long-term evolution of sabin:type 1 poliovirus in an immunodeficient patient :,18596089,iVDPV,,healthy,,,,,legacy_excel_title_key_table
166,EU918390,Molecular characterization of poliovirus isolates from children who:contracted vaccine-associated paralytic poliomyelitis (VAPP) :following administration of monovalent type 3 oral poliovirus :vaccine in the 1960s in Hungary :,19863665,vaccineOrigin,,AFP,,,,,legacy_excel_title_key_table
167,FB743423,Attenuated polio viruses:,,,,,,yes,Sabin 3 fragment,,legacy_excel_title_key_table
168,FJ437006,Environmental Poliovirus Surveillance in Switzerland 2006-2008:,,unknown,,environmental,,,,,legacy_excel_title_key_table
169,FJ456966,Chronic excretion of vaccine-derived poliovirus type 1 in an:immunodeficient patient from Germany :,,iVDPV,,unknown,,,,,legacy_excel_title_key_table
170,FJ460227,Comparison of poliovirus recombinants: accumulation of point:mutations provides further advantages :,19403755,vaccineOrigin,,healthy,,,,,legacy_excel_title_key_table
171,FJ492827,Detection and Quantification of Enteroviruses in Coastal Seawater:of Bohai Bay_ Tianjin_ China :,,unknown,,environmental,,,,,legacy_excel_title_key_table
172,FJ517649,Evolution of the Sabin vaccine into pathogenic derivatives without:appreciable changes in antigenic properties: need for improvement :of current poliovirus surveillance :,19129444,vaccineOrigin,,AFP,,,,,legacy_excel_title_key_table
173,FJ598093,An outbreak of hand-foot-mouth disease due to EV71/CoxA16 in:Guangdong_ China_ in 2008 :,,unknown,,AFP,,,,,legacy_excel_title_key_table
174,FJ609772,Study of antigenic evolution of vaccine poliovirus strains and :determination of their immunological properties in Greek population:,,vaccineOrigin,,unknown,,,,"likely from healthy subjects (based on the number of isolates available), but no metadata is available to confirm",legacy_excel_title_key_table
175,FJ769385,An Insight into Recombination with Enterovirus Species C and :Nucleotide G-480 Reversion from the Viewpoint of Neurovirulence of:Vaccine-Derived Polioviruses :,26603565,vaccineOrigin,,AFP,,,,,legacy_excel_title_key_table
176,FJ839689,Outbreak of poliomyelitis in Finland in 1984-85 - Re-analysis of:viral sequences using the current standard approach :,19883702,wild;vaccineOrigin,vaccineOrigin:FIN85-77-32899;vaccineOrigin:FIN85-77-32899;vaccineOrigin:FIN85-349-1848;wild:,AFP,,,,,legacy_excel_title_key_table
177,FJ859064,Emergence and localized circulation of a vaccine-derived poliovirus:in an isolated mountain community in guangxi_ china :,20631095,cVDPV,,AFP,,,,,legacy_excel_title_key_table
178,FJ859192,Natural type 3/type 2 intertypic vaccine-related poliovirus :recombinants with the first crossover sites within the VP1 capsid:coding region :,21203565,vaccineOrigin,,AFP;healthy,healthy:CHN11185h/XZ/CHN/2007;AFP:,,,,legacy_excel_title_key_table
179,FJ868312,Identification of 20 common human enterovirus serotypes by use of a:reverse transcription-PCR-based reverse line blot hybridization :assay :,19571022,unknown,,AFP,,,,,legacy_excel_title_key_table
180,FJ868336,Direct Submission:,,unknown,,AFP,,,,,legacy_excel_title_key_table
181,FJ898290,A Sabin 2-related poliovirus recombinant contains a homologous :sequence of human enterovirus species C in the viral polymerase:coding region :,19946714,vaccineOrigin,,AFP,,,,,legacy_excel_title_key_table
182,FR715560,The frequency and biodiversity of poliovirus and non-polio :enterovirus strains isolated from healthy children living in a:limited area in Romania :,,unknown,,healthy,,,,,legacy_excel_title_key_table
183,FV537077,Modified Microbial Nucleic Acid:,,,,,,yes,patent,,legacy_excel_title_key_table
184,GM709485,Oligonucleotide microarray for identification of pathogens:,,,,,,yes,patent;fragment,,legacy_excel_title_key_table
185,GN353743,Viral nucleic acid microarray and method of use:,,,,,,yes,patent;fragment,,legacy_excel_title_key_table
186,GQ331952,Enteric viruses in raw vegetables and groundwater used for:irrigation in South Korea :,19854919,unknown,,environmental,,,,,legacy_excel_title_key_table
187,GQ506664,Molecular characterization of circulating Human enteroviruses in:India :,,unknown,,AFP-CSF,,,,,legacy_excel_title_key_table
188,GQ984141,OPV-like Poliovirus Type 1 Detection in Patients with Severe Acute:Respiratory Syndrome: a Retrospective Study :,,vaccineOrigin,,healthy,,,,,legacy_excel_title_key_table
189,GU180608,Retrospective molecular and phenotypic analysis of poliovirus:vaccine strains isolated in Greece :,21375661,vaccineOrigin,,AFP,,,,,legacy_excel_title_key_table
190,GU236309,Direct Submission:,,unknown,,AFP,,,,,legacy_excel_title_key_table
191,GU236310,Direct Submission:,,unknown,,AFP,,,,,legacy_excel_title_key_table
192,GU236311,Direct Submission:,,unknown,,AFP,,,,,legacy_excel_title_key_table
193,GU236312,Direct Submission:,,unknown,,AFP,,,,,legacy_excel_title_key_table
194,GU236313,Direct Submission:,,unknown,,AFP,,,,,legacy_excel_title_key_table
195,GU236314,Direct Submission:,,unknown,,AFP,,,,,legacy_excel_title_key_table
196,GU256222,Isolation of a recombinant type 3/type 2 poliovirus with a chimeric:capsid VP1 from sewage in Shandong_ China :,20206214,vaccineOrigin,,environmental,,,,,legacy_excel_title_key_table
197,GU380286,Recurrent isolation of poliovirus 3 strains with chimeric capsid:protein Vp1 suggests a recombination hot-spot site in Vp1 :,20493912,vaccineOrigin,,AFP,,,,,legacy_excel_title_key_table
198,GU390706,Brief Report: Neuroinvasive Immunodeficiency-Associated :Vaccine-Derived Poliomyelitis Thirteen Years after Infection -:Minnesota_ 2008 :,,iVPDV;cVDPV,iVDPV:USA;cVDPV:,AFP,,,,,legacy_excel_title_key_table
199,GU903889,Detection and molecular identification of human adenoviruses and:enteroviruses in wastewater from Morocco :,22324352,unknown,,environmental,,,,,legacy_excel_title_key_table
200,GU906272,Isolation and molecular characterization of Poliovirus-3 from the:respiratory tract in Nairobi_ Kenya :,,unknown,,AFP-throat,,,,,legacy_excel_title_key_table
201,GU951803,Identification and molecular characterisation of an Indian genotype:of poliovirus type 1 isolated during outbreaks of poliomyelitis in :the Democratic Republic of Congo (DRC) from 2006 - 2008 :,,wild,,AFP,,,,,legacy_excel_title_key_table
202,HF913428,Reemergence of Recombinant Vaccine-derived Polioviruses in Healthy:Children_ Madagascar :,23735779,VDPV,,healthy,,,,,legacy_excel_title_key_table
203,HM107835,Type 2 vaccine-derived poliovirus from patients with acute flaccid:paralysis in china: current immunization strategy effectively :prevented its sustained transmission :,21050127,vaccineOrigin,,AFP,,,,,legacy_excel_title_key_table
204,HM134120,Vaccine Derived Polioviruses (VDPV) threatening eradication of:polio in the Democratic Republic of Congo (DRC) :,,cVDPV,,AFP,,,,,legacy_excel_title_key_table
205,HM537011,Determination of antigenic properties of vaccine derived poliovirus:strains :,20974307,vaccineOrigin,,environmental;AFP;healthy,environmental:742;environmental:7/b/97;AFP:I34;AFP:ID;AFP:EP23;AFP:K/2002;environmental:738;environmental:584;healthy:,,,,legacy_excel_title_key_table
206,HQ286321,The Picornaviruses Chapter 26: The poliovirus eradication:initiative :,,wild,,AFP,,,,,legacy_excel_title_key_table
207,HQ317702,Identification and characterization of poliovirus type 1 (India :genotype) during the outbreak of poliomyelitis in Tajikistan 2010:,,wild,,AFP,,,,,legacy_excel_title_key_table
208,HQ694496,Virological surveillance of enteroviruses from healthy children in:the border areas with Myanma_ Yunnan Province_ China_ 2009 :,,vaccineOrigin,,healthy,,,,,legacy_excel_title_key_table
209,HQ703555,Antiviral Activity of 3(2H)- and 6-Chloro-3(2H)-Isoflavenes against:Highly Diverged_ Neurovirulent Vaccine-Derived_ Type2 Poliovirus :Sewage Isolates :,21904594,vaccineOrigin,,environmental,,,,,legacy_excel_title_key_table
210,HV202313,Replication-competent recombinant sabin type 1 strain of poliovirus:,,,,,,yes,patent; unknown design,,legacy_excel_title_key_table
211,HZ037987,ATTENUATED VIRUSES USEFUL FOR VACCINES:,,,,,,yes,patent; Mahoney copy,,legacy_excel_title_key_table
212,J02283,Poliovirus type 3: molecular cloning of the genome and nucleotide:sequence of the region encoding the protease and polymerase :proteins :,6298739,,,,,yes,Sabin 3 fragment,,legacy_excel_title_key_table
213,JF313104,Poliovirus reference strains:,,wild;VDPV,VDPV:NIE0811671;wild:,AFP,,,,,legacy_excel_title_key_table
214,JF343828,Occurrence of human enteric viruses at freshwater beaches during:swimming season and its link to water inflow :,24333998,,,,,yes,fragments; likely false homology with Sabin in OPV-free era,,legacy_excel_title_key_table
215,JF838278,Robustness against serum neutralization of a poliovirus type 1 from:a lethal epidemic of poliomyelitis in the Republic of Congo in 2010:,25136105,wild,,AFP,,,,,legacy_excel_title_key_table
216,JF896213,Environmental surveillance of enterovirus in Northern India using:an integrated shell vial culture with a semi-nested RT PCR and :partial sequencing of the VP1 gene :,23341372,unknown,,environmental,,,,,legacy_excel_title_key_table
217,JN092123,Direct Submission:,,,,,,yes,fragment; unclear clinical presentation,,legacy_excel_title_key_table
218,JN092124,Direct Submission:,,,,,,yes,fragment; unclear clinical presentation,,legacy_excel_title_key_table
219,JN105295,Characterization of poliovirus variants selected for resistance to:the antiviral compound v-073 :,22890765,v073-antiviral,,engineered,,,,,legacy_excel_title_key_table
220,JN393077,Interruption of poliovirus transmission in Ghana: molecular :epidemiology of wild-type 1 poliovirus isolated from 1995 to 2008:,22829642,wild,,AFP,,,,,legacy_excel_title_key_table
221,JN688978,A RT-PCR method for selective amplification and phenotypic:characterization of all three serotypes of Sabin-related :polioviruses from viral mixtures :,22850966,vaccineOrigin,,AFP,,,,,legacy_excel_title_key_table
222,JN812668,Phylogenetic study of wild poliovirus that circulated in:pre-eradication era in Brazil :,,wild,,AFP,,,,,legacy_excel_title_key_table
223,JN990978,Molecular epidemiological study of human enterovirus circulating in:India :,,wild,,AFP,,,,,legacy_excel_title_key_table
224,JQ228564,Bioterrorism and surveillance for infectious diseases - lessons:from poliovirus and enteric virus surveillance :,,unknown,,environmental,,,,,legacy_excel_title_key_table
225,JQ411771,Molecular epidemiology and evolution of human enterovirus serotype:68 in Thailand_ 2006-2011 :,22586446,vaccineOrigin,,healthy,,,,,legacy_excel_title_key_table
226,JQ613997,Detection of imported wild polioviruses and of vaccine-derived:polioviruses by environmental surveillance in egypt :,22582070,wild;cVDPV,cVDPV:PV1/EGY10/E42/V1;cVDPV:PV2;wild:,environmental,,,,,legacy_excel_title_key_table
