legacy_row,accession,title,pubmed,possibleClassifications,classificationKeyValuePairs,possibleSamplingFrames,samplingFrameKeyValuePairs,discard,reason,notes,curation_source
2,A01868,DNA FRAGMENTS CARRYING PORTIONS OF GENETIC INFORMATION OF :POLIOVIRUS_ PARTICULARLY OF THE PV1 TYPE_ AND METHOD FOR OBTAINING:THEM :,,,,,,yes,patent;fragment,,legacy_excel_title_key_table
3,A03852,POLYPEPTIDES USEFUL IN VACCINATION AGAINST ENTEROVIRUSES:,,,,,,yes,patent;fragment,,legacy_excel_title_key_table
4,A07272,Attenuated viruses:,,,,,,yes,patent;fragment,,legacy_excel_title_key_table
5,A09260,Peptides useful in vaccination against enteroviruses:,,,,,,yes,patent;fragment,,legacy_excel_title_key_table
6,A37539,MULTICISTRONIC EXPRESSION UNITS AND THEIR USE:,,,,,,yes,patent;fragment,,legacy_excel_title_key_table
7,A37564,PRODUCTION OF HETERODIMER PDGF-AB BY MEANS OF A BICISTRONIC VECTOR:SYSTEM IN MAMMALIAN CELLS :,,,,,,yes,patent;fragment,,legacy_excel_title_key_table
8,AB054212,Two major strains of type 1 wild poliovirus circulating in:Indochina :,9129093,wild,"wild:""wild poliovirus""",AFP,,,,,legacy_excel_title_key_table
9,AB060337,Circulation of type 1 wild poliovirus in northern Vietnam during:1991-1994 :,8940986,wild,"wild:""wild poliovirus""",AFP,,,,,legacy_excel_title_key_table
10,AB061280,Assessment of poliovirus eradication in Japan: genomic analysis of:polioviruses isolated from river water and sewage in toyama :prefecture :,11055968,vaccineOrigin,,environmental,,,,,legacy_excel_title_key_table
11,AB111515,Phylogenetic diagnosis of polioviruses and other enteroviruses :isolated in Turkey during 1994 and 1999 by use of the VP4 sequence:,,wild;vaccineOrigin,"vaccineOrigin:""Ankara/21/96"";wild:",AFP,,,,,legacy_excel_title_key_table
12,AB111826,Phylogenetic analysis of wild type 1 polioviruses isolated at the:latest period of transmission in Turkey :,,wild,wild:wild,AFP,,,,,legacy_excel_title_key_table
13,AB162761,sequence of enterovirus:,,vaccineOrigin,,AFP-throat;AFP:,AFP-throat:throat;AFP:,,,,legacy_excel_title_key_table
14,AB180073,Circulation of type 1 vaccine-derived poliovirus in the Philippines:in 2001 :,15564462,cVDPV;wild,cVDPV:Mindanao-01-1;cVDPV:Luzon-01-1;cVDPV:Luzon-01-2;cVDPV:Luzon-01-2c;wild:,AFP,,,,,legacy_excel_title_key_table
15,AB282824,[Influence of genome extraction kits on enterovirus detection using:RT-PCR] :,18306682,unknown,,AFP,,,isolate follows EPID naming structure,,legacy_excel_title_key_table
16,AB467771,Shedding of vaccine viruses with increased antigenic and genetic:divergence after vaccination of newborns with monovalent type 1 :oral poliovirus vaccine :,19515771,SabinLike,"SabinLike:""Shedding of vaccine viruses""",healthy,,,,,legacy_excel_title_key_table
17,AB629955,Development of real-time PCR to detect oral vaccine-like poliovirus:and its application to environmental surveillance :,24134937,unknown,,environmental;healthy,environmental:sewage;healthy:healthy,,,,legacy_excel_title_key_table
18,AB739059,Molecular typing of human enteroviruses from healthy children in:Yunnan province_ 2011 :,,unknown,,healthy,healthy:healthy,,,,legacy_excel_title_key_table
19,AB781741,Molecular typing of human enteroviruses from healthy children in:Yunnan province_ 2012 (part 2) :,,unknown,,healthy,healthy:healthy,,,,legacy_excel_title_key_table
20,AB794138,Molecular typing of enteroviruses in Yuxi city_Yunnan:province_China_2011(part 1) :,,unknown,,unknownStool,,,,,legacy_excel_title_key_table
21,AB813054,Molecular typing of enteroviruses in Yuxi city_ Yunnan province_:China_ 2011(part 2) :,,unknown,,unknownStool,,,,,legacy_excel_title_key_table
22,AB861646,Molecular typing of enteroviruses from healthy Children_ Yunnan:Province_ China_ 2013 :,,unknown,,healthy,healthy:healthy,,,,legacy_excel_title_key_table
23,AB976096,Molecular typing of enteroviruses isolated from sewage samples_:Yunnan province_ China_ 2013 :,,unknown,,environmental,environmental:sewage,,,,legacy_excel_title_key_table
24,AB980994,Environmental surveillance of poliovirus in sewage water around the:introduction period for inactivated polio vaccine in Japan :,25556189,unknown,,environmental,"environmental:""river water""",,,,legacy_excel_title_key_table
25,AF065158,A Sabin vaccine-derived field isolate of poliovirus type 1 :displaying aberrant phenotypic and genetic features_ including a:deletion in antigenic site 1 :,10211959,VDPV,,AFP,,,,I suspect iVDPV based on presentation concurrent with measles and unusual genotype,legacy_excel_title_key_table
26,AF068878,Multicenter quality assessment of PCR methods for detection of:enteroviruses :,10203496,,,,,yes,Sabin2 for lab protocol testing,,legacy_excel_title_key_table
27,AF083944,Prolonged replication of a type 1 vaccine-derived poliovirus in an:immunodeficient patient :,9738040,iVDPV,iVDVP:immunodeficient,AFP,,,,,legacy_excel_title_key_table
28,AF111953,Distribution of wild type 1 poliovirus genotypes in China:,8245521,wild,,AFP,,,,,legacy_excel_title_key_table
29,AF139291,Resolution of the pathways of poliovirus type 1 transmission during:an outbreak :,10698978,wild,,AFP;environmental,AFP:clinical;environmental:environmental,,,,legacy_excel_title_key_table
30,AF233222,Evolution of circulating wild poliovirus and of vaccine-derived:poliovirus in an immunodeficient patient: a unifying model :,10906191,wild;iVDPV,iVDPV:usa;wild:,AFP,,,,,legacy_excel_title_key_table
31,AF236796,Nucleotide sequencing coat protein (VP1-VP3) of poliovirus type I:Mahoney-var :,,,,,,yes,,,legacy_excel_title_key_table
32,AF236797,Nucleotide sequencing coat protein (VP1-VP3) of poliovirus type I:Mahoney-var_ hor7 :,,,,,,yes,no metadata to explain sample origin,,legacy_excel_title_key_table
33,AF249265,Molecular and antigenic characterization of a highly evolved :derivative of the type 2 oral poliovaccine strain isolated from:sewage in Israel :,11015392,,,,,yes,no metadata to explain sample origin,,legacy_excel_title_key_table
34,AF252165,Molecular characterization of human enteroviruses in clinical :samples: comparison between VP2_ VP1_ and RNA polymerase regions:using RT nested PCR assays and direct sequencing of products :,11505456,,,,,yes,lab assay study,,legacy_excel_title_key_table
35,AF261763,Vaccine-associated Paralytic Poliomyelitis: Report of Successful:Treatment With Pleconaril :,,iVDPV,,AFP-CNS,,,,,legacy_excel_title_key_table
36,AF334953,Antigenic sites of poliovirus type 3 eliciting IgA monoclonal:antibodies in orally immunized mice :,11277698,,,,,yes,mouse immunology study,,legacy_excel_title_key_table
37,AF380615,Detection and Typing of Enteroviruses by Analysis of the 2C Gene:Sequence :,,unknown,,unknown,,yes,no metadata to explain sample origin,2C so I want to keep if possible,legacy_excel_title_key_table
38,AF405657,Outbreak of poliomyelitis in Hispaniola associated with circulating:type 1 vaccine-derived poliovirus :,11896235,wild;cVDPV,cVDPV:HAI0;cVDPV:DOR0;wild:,AFP,,,,,legacy_excel_title_key_table
39,AF405689,Circulating type 1 vaccine-derived poliovirus recombinants:,,cVDPV,,AFP;healthy,"healthy:C"";healthy:C1"";healthy:C2"";AFP:",,,,legacy_excel_title_key_table
40,AF462419,Long-term circulation of vaccine-derived poliovirus that causes:paralytic disease :,12050392,vaccineOrigin,,AFP,,,,,legacy_excel_title_key_table
41,AF528821,Calibration of a Clock for VP1 Nucleotide Evolution in Poliovirus:Type 1 :,,wild,,AFP,,,,,legacy_excel_title_key_table
42,AF538842,Intratypic Recombination among Lineages of Type 1 Vaccine-Derived :Poliovirus Emerging during Chronic Infection of an Immunodeficient:Patient :,16188964,iVDPV,,AFP,,,,,legacy_excel_title_key_table
43,AF541919,Characterization of a recombinant type 3/type 2 poliovirus isolated:from a healthy vaccinee and containing a chimeric capsid protein :VP1 :,12604808,vaccineOrigin,,healthy,,,,,legacy_excel_title_key_table
44,AF545181,Prolonged detection of indigenous wild polioviruses in sewage from:communities in Egypt :,14561671,wild,,AFP,,,,,legacy_excel_title_key_table
45,AF551841,Circulation of endemic type 2 vaccine-derived poliovirus in Egypt:from 1983 to 1993 :,12857906,wild;cVDPV,wild:pak;wild:per;wild:geo;wild:ind;wild:ban;wild:cae;wild:EGY79;wild:isr;wild:swe;wild:EGY55;cVDPV:,AFP,,,,,legacy_excel_title_key_table
46,AH004344 S66302 S66304,Genomic analysis of type 3 wild poliovirus isolates in southern:Alberta :,8395279,wild,,healthy,,,,"source for ""healthy"": MMWR 42(17);337-339 http://www.cdc.gov/mmwr/preview/mmwrhtml/00020490.htm",legacy_excel_title_key_table
47,AJ007969,Antigenic and molecular characterization of wild type 1 poliovirus:causing outbreaks of poliomyelitis in Albania and neighboring :countries in 1996 :,9650935,wild,,AFP,,,,,legacy_excel_title_key_table
48,AJ132961,Evolution of poliovirus type I during 5.5 years of prolonged:enteral replication in an immunodeficient patient :,10600590,iVDPV,,AFP,,,,,legacy_excel_title_key_table
49,AJ248524,Direct Submission:,,wild,,AFP,,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID),legacy_excel_title_key_table
50,AJ248525,Direct Submission:,,wild,,AFP,,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID),legacy_excel_title_key_table
51,AJ248526,Direct Submission:,,wild,,AFP,,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID),legacy_excel_title_key_table
52,AJ248527,Direct Submission:,,wild,,AFP,,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID),legacy_excel_title_key_table
53,AJ248528,Direct Submission:,,wild,,AFP,,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID),legacy_excel_title_key_table
54,AJ248529,Direct Submission:,,wild,,AFP,,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID),legacy_excel_title_key_table
55,AJ248530,Direct Submission:,,wild,,AFP,,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID),legacy_excel_title_key_table
56,AJ248531,Direct Submission:,,wild,,AFP,,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID),legacy_excel_title_key_table
57,AJ248532,Direct Submission:,,wild,,AFP,,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID),legacy_excel_title_key_table
58,AJ248533,Direct Submission:,,wild,,AFP,,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID),legacy_excel_title_key_table
59,AJ248534,Direct Submission:,,wild,,AFP,,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID),legacy_excel_title_key_table
60,AJ248535,Direct Submission:,,wild,,AFP,,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID),legacy_excel_title_key_table
61,AJ248536,Direct Submission:,,wild,,AFP,,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID),legacy_excel_title_key_table
62,AJ248537,Direct Submission:,,wild,,AFP,,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID),legacy_excel_title_key_table
63,AJ248538,Direct Submission:,,wild,,AFP,,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID),legacy_excel_title_key_table
64,AJ248539,Direct Submission:,,wild,,AFP,,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID),legacy_excel_title_key_table
65,AJ248540,Direct Submission:,,wild,,AFP,,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID),legacy_excel_title_key_table
66,AJ248541,Direct Submission:,,wild,,AFP,,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID),legacy_excel_title_key_table
67,AJ248542,Direct Submission:,,wild,,AFP,,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID),legacy_excel_title_key_table
68,AJ248543,Direct Submission:,,wild,,AFP,,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID),legacy_excel_title_key_table
69,AJ248544,Direct Submission:,,wild,,AFP,,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID),legacy_excel_title_key_table
70,AJ248545,Direct Submission:,,wild,,AFP,,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID),legacy_excel_title_key_table
71,AJ249036,Genetic recombination in wild-type poliovirus:,12466487,wild,,AFP,,,,,legacy_excel_title_key_table
